"Date Added",Title,Type,"Item Link","Local Control Number",ISBN10,ISBN13,ISSN,EISSN,DOI,Importance,"Note for Student","Part of"
"24/09/2024 16:25:40","Research methods for business students",Book,http://libreading.uea.ac.uk/items/fbec3bef-b570-4a0f-a568-29bbe999425a.html,1350439264,1292402725,9781292402727,,,,,,
"24/09/2024 16:27:53","Business research methods",Book,http://libreading.uea.ac.uk/items/f873ba44-2eda-4178-9c13-d14129b58a83.html,41620082,0030258170,9780030258176,,,,,,
"24/09/2024 16:29:32","[electronic resource]. The Craft of Research, Fifth Edition Booth, Wayne C.",Book,http://libreading.uea.ac.uk/items/b680268a-1829-4696-b53f-63b1bd72ad29.html,1452592592,022682666X,9780226826660,,,,,,
"24/09/2024 16:04:50","Social research methods",Book,http://libreading.uea.ac.uk/items/f607bb3a-73fc-4352-94f2-cc76c8fb3cbe.html,933288982,0199689458,9780199689453,,,,,,
"24/09/2024 16:38:19","Bryman's social research methods",Book,http://libreading.uea.ac.uk/items/d1549059-1fd7-4535-a6b7-d90e99691f87.html,1259542751,0198796056,9780198796053,,,,,,
"01/10/2024 16:19:24","A qualitative investigation of the origins of excessive work behaviour.",Article,http://libreading.uea.ac.uk/items/778b8533-7a06-47ff-91b7-a8fbcf34ae46.html,,,,09631798,,10.1111/joop.12203,,,"Journal of Occupational & Organizational Psychology"
"01/10/2024 16:19:57","Intentional and Identity Processes: A Social Constructionist Investigation Using Student Journals",Article,http://libreading.uea.ac.uk/items/63e941c2-a0e7-40ed-b2b8-f1d18463664b.html,,,,0001-8791,,10.1016/j.jvb.2008.10.007,,,"Journal of Vocational Behavior"
"01/10/2024 16:20:14","The significance of task significance: Job performance effects, relational mechanisms, and boundary conditions.",Article,http://libreading.uea.ac.uk/items/3cbced40-9fbb-4751-bd7b-7cadafca0658.html,,,,00219010,19391854,10.1037/0021-9010.93.1.108,,,"Journal of Applied Psychology"
"01/10/2024 16:20:41","The Association of Meaningfulness, Well-Being, and Engagement with Absenteeism: A Moderated Mediation Model",Article,http://libreading.uea.ac.uk/items/2eae6a97-df6c-4253-b022-77bedd8916ca.html,,,,00904848,,,,,"HUMAN RESOURCE MANAGEMENT -ANN ARBOR-"
"17/10/2024 14:57:44","Gamification's impact on manufacturing: Enhancing job motivation, satisfaction and operational performance with smartphone‐based gamified job design.",Article,http://libreading.uea.ac.uk/items/895342a8-6a56-4d79-9add-d6a0fdd280db.html,,,,21574650,15206564,10.1002/hfm.20723,,,"Human Factors and Ergonomics in Manufacturing & Service Industries"
"02/10/2024 13:43:56","Social research methods",Book,http://libreading.uea.ac.uk/items/b70cb425-55df-4189-a438-7b4bf9a67c05.html,933288982,0199689458,9780199689453,,,,,"Chapter 2",
"02/10/2024 13:44:16","Bryman's social research methods",Book,http://libreading.uea.ac.uk/items/a18c9130-5fb3-470a-b417-7b7bbc407eae.html,1259542751,0198796056,9780198796053,,,,,"Chapter 2",
"02/10/2024 13:45:51","Philosophy of research",Book,http://libreading.uea.ac.uk/items/6ee49256-999a-48cd-ba3a-2c2e0a0404a6.html,1016296927,152640849X,9781526408495,,,,,,
"24/09/2024 16:12:16","Constructing Research Questions: Doing Interesting Research",Book,http://libreading.uea.ac.uk/items/bdf4dd01-27f9-4fef-8595-98faa18389e2.html,1432098695,1529682584,9781529682588,,,,,,
"24/09/2024 16:08:41","Generating Research Questions Through Problematization",Article,http://libreading.uea.ac.uk/items/1d3be638-7253-4f64-b158-4ecf3073b196.html,,,,0363-7425,1930-3807,10.5465/amr.2009.0188,,,"Academy of Management Review"
"24/09/2024 16:10:40","EDITORS' COMMENTS: SENSE AND STRUCTURE--THE CORE BUILDING BLOCKS OF AN AMR ARTICLE.",Article,http://libreading.uea.ac.uk/items/3cdc6f17-a73f-41db-9e49-341563776ce9.html,,,,03637425,,10.5465/amr.2016.0225,,,"Academy of Management Review"
