"Date Added",Title,Type,"Item Link","Local Control Number",ISBN10,ISBN13,ISSN,EISSN,DOI,Importance,"Note for Student","Part of"
"15/10/2024 13:24:22","The Work Design Questionnaire (WDQ): Developing and Validating a Comprehensive Measure for Assessing Job Design and the Nature of Work",Article,http://libreading.uea.ac.uk/items/1ad5a08a-ead2-4933-969a-9b161c137b19.html,,,,0021-9010,,10.1037/0021-9010.91.6.1321,,,"Journal of Applied Psychology"
"15/10/2024 14:01:51","Validating the Job Crafting Questionnaire (JCRQ): A multi-method and multi-sample study",Article,http://libreading.uea.ac.uk/items/bf2df8aa-3bdf-4bef-8f4e-8ba1c7927c1c.html,,,,02678373,,10.1080/02678373.2017.1293752,,,"Work & Stress"
"21/10/2024 14:44:43","The approach‐avoidance job crafting scale: Development and validation of a measurement of the hierarchical structure of job crafting.",Article,http://libreading.uea.ac.uk/items/20b68b90-5348-420b-943b-2511d12edcbb.html,,,,0269994X,14640597,10.1111/apps.12466,,,"Applied Psychology: An International Review"
"21/10/2024 14:49:36","The Job Crafting Questionnaire: A new scale to measure the extent to which employees engage in job crafting.",Article,http://libreading.uea.ac.uk/items/33d58135-6dc2-44a0-a075-aa7369052c6f.html,,,,,11798602,,,,"International Journal of Wellbeing"
"15/10/2024 13:23:17","The Warwick-Edinburgh Mental Well-being Scale (WEMWBS):development and UK validation.",Article,http://libreading.uea.ac.uk/items/e9370baa-7556-40b0-baa3-ab8b4d1ebb59.html,,,,14777525,,10.1186/1477-7525-5-63,,,"Health & Quality of Life Outcomes"
"15/10/2024 14:04:27","Measures of five aspects of affective well-being at work",Article,http://libreading.uea.ac.uk/items/63471455-fc51-412c-9870-5f9ab8ce53ef.html,,,,00187267,,,,,"HUMAN RELATIONS -NEW YORK-"
"15/10/2024 14:05:10","Measuring affective well-being at work using short-form scales: Implications for affective structures and participant instructions",Article,http://libreading.uea.ac.uk/items/5954c893-6464-4773-97c4-3ae47de78b52.html,,,,00187267,,10.1177/0018726717751034,,,"Human Relations"
"15/10/2024 14:23:08","The measurement of experienced burnout.",Article,http://libreading.uea.ac.uk/items/9cd5c023-e6c0-474f-8fce-24353df4f6be.html,,,,01422774,,10.1002/job.4030020205,,,"Journal of Occupational Behavior"
"15/10/2024 14:16:43","The Measurement of Work Engagement with a Short Questionnaire: A Cross-National Study",Article,http://libreading.uea.ac.uk/items/e60150d1-fd75-4fc1-9188-5ff57a52487a.html,,,,0013-1644,,10.1177/0013164405282471,,,"Educational and Psychological Measurement"
"15/10/2024 14:15:21","Ultrashort Version of the Utrecht Work Engagement Scale (UWES-3): A Psychometric Assessment.",Article,http://libreading.uea.ac.uk/items/19a82844-7c16-4122-8138-6706835bb9c1.html,,,,,1660-4601,10.3390/ijerph19020890,,,"International journal of environmental research and public health"
"21/10/2024 14:11:28","Using the Job-Related Affective Well-Being Scale (JAWS) to Investigate Affective Responses to Work Stressors",Article,http://libreading.uea.ac.uk/items/1d3b1c93-e143-4c61-b353-86a013a38891.html,,,,10768998,,,,,"Journal of Occupational Health Psychology"
"21/10/2024 14:14:21","The Recovery Experience Questionnaire: Development and Validation of a Measure for Assessing Recuperation and Unwinding From Work",Article,http://libreading.uea.ac.uk/items/408e41f1-1651-4ab7-b481-ef94beb8c4b7.html,,,,10768998,,,,,"JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY"
"15/10/2024 14:30:43","General Self-Efficacy Scale (GSE)",Article,http://libreading.uea.ac.uk/items/DBFF7E94-4EE9-A06F-CF72-0064775C933E.html,,,,,,,,,
"15/10/2024 13:24:53","A test of the International Personality Item Pool representation of the Revised NEO Personality Inventory and development of a 120-item IPIP-based measure of the five-factor model.",Article,http://libreading.uea.ac.uk/items/6b5df6b3-e6e8-40b6-934a-39b0ad42efbf.html,,,,10403590,1939134X,10.1037/pas0000004,,,"Psychological Assessment"
"15/10/2024 14:03:41","THE CORE SELF-EVALUATIONS SCALE: DEVELOPMENT OF A MEASURE.",Article,http://libreading.uea.ac.uk/items/73f4241f-62b2-4e18-acc8-02dfaae0e274.html,,,,00315826,,10.1111/j.1744-6570.2003.tb00152.x,,,"Personnel Psychology"
"15/10/2024 14:50:48","Introducing the Short Dark Triad (SD3): A brief measure of dark personality traits.",Article,http://libreading.uea.ac.uk/items/0defed2a-a21f-4ccb-aee2-0ab0fb9d441d.html,,,,10731911,15523489,10.1177/1073191113514105,,,Assessment
"15/10/2024 14:35:14","Psychometric properties of the Trait Emotional Intelligence Questionnaire (TEIQue)",Chapter,http://libreading.uea.ac.uk/items/c0ad053d-6e39-4ff3-bcb8-856ff5f865fd.html,,038788369X,9780387883694,,,,,,"Assessing emotional intelligence: theory, research, and applications"
"21/10/2024 14:10:14","Measuring the Big Five with Single Items using a Bipolar Response Scale",Article,http://libreading.uea.ac.uk/items/a7b366ad-682b-45b5-b6f8-8b7d69bd0b60.html,,,,08902070,,,,,"EUROPEAN JOURNAL OF PERSONALITY"
"21/10/2024 15:47:38","A three-component model of future time perspective across adulthood.",Article,http://libreading.uea.ac.uk/items/0361dc80-8f1b-43d9-a1fe-44d88b4d1a85.html,,,,08827974,19391498,10.1037/pag0000191,,,"Psychology and Aging"
"15/10/2024 13:40:11","Relationship-based approach to leadership: Development of leader-member exchange (LMX) theory of leadership over 25 years: Applying a multi-level multi-domain perspective.",Article,http://libreading.uea.ac.uk/items/3900d4e4-61ca-437a-929d-d4c9bd820726.html,,,,10489843,,10.1016/1048-9843(95)90036-5,,,"The Leadership Quarterly"
"21/10/2024 15:48:24","The revised self-leadership questionnaire:Testing a hierarchical factor structure for self-leadership",Article,http://libreading.uea.ac.uk/items/ebeb8151-3a31-4f3e-9430-7d0bda1b4534.html,,,,02683946,,10.1108/02683940210450484,,,"Journal of Managerial Psychology"
"27/10/2024 09:38:47","Perceived supervisor support: Contributions to perceived organizational support and employee retention.",Article,http://libreading.uea.ac.uk/items/3fe049f9-e524-4837-9d1c-d0a9b254ce5f.html,,,,00219010,19391854,10.1037/0021-9010.87.3.565,,,"Journal of Applied Psychology"
"15/10/2024 14:18:36","The Multidimensional Work Motivation Scale: Validation evidence in seven languages and nine countries",Article,http://libreading.uea.ac.uk/items/6e8efd15-dbf8-4168-80de-61d9a3f85824.html,,,,1359432X,,,,,"European journal of work and organizational psychology"
"29/10/2024 17:25:42","Basic psychological need satisfaction, need frustration, and need strength across four cultures.",Article,http://libreading.uea.ac.uk/items/83bb5054-7886-4f26-9b45-2dcf7b99c50c.html,,,,01467239,15736644,10.1007/s11031-014-9450-1,,,"Motivation and Emotion"
"21/10/2024 14:10:57","A Multilevel Model of Safety Climate: Cross-Level Relationships Between Organization and Group-Level Climates.",Article,http://libreading.uea.ac.uk/items/d3f15529-01b4-4d05-b6f9-20d1c2b38a42.html,,,,00219010,,10.1037/0021-9010.90.4.616,,,"Journal of Applied Psychology"
"21/10/2024 15:15:24","Validating the Organizational Climate Measure: Links to Managerial Practices, Productivity and Innovation",Article,http://libreading.uea.ac.uk/items/b2c8197c-25ba-47ff-8f83-4b0e0fa7d668.html,,,,"08943796 10991379",,,,,"Journal of Organizational Behavior"
"25/10/2024 09:19:54","Organisational sustainability policies and employee green behaviour: The mediating role of work climate perceptions",Article,http://libreading.uea.ac.uk/items/d96b5d62-e71d-4cd2-be65-dbe86c08c8f3.html,,,,,02724944,10.1016/j.jenvp.2013.12.008,,,"Journal of Environmental Psychology"
"21/10/2024 14:12:54","Work-home interaction from a work psychological perspective: Development and validation of a new questionnaire, the SWING.",Article,http://libreading.uea.ac.uk/items/6fd33c1f-8bc6-4143-a60f-c64ae9b911a8.html,,,,02678373,,10.1080/02678370500410208,,,"Work & Stress"
"21/10/2024 14:21:18","Job Satisfaction and Organizational Commitment as Predictors of Organizational Citizenship and In-Role Behaviors.",Article,http://libreading.uea.ac.uk/items/a3459969-7115-456c-bd92-0bb7fd5a9e99.html,,,,01492063,,10.1177/014920639101700305,,,"Journal of Management"
"21/10/2024 15:57:39","A NEW MODEL OF WORK ROLE PERFORMANCE: POSITIVE BEHAVIOR IN UNCERTAIN AND INTERDEPENDENT CONTEXTS.",Article,http://libreading.uea.ac.uk/items/b6be599f-d0ca-4d6b-9bd2-4855b87cca58.html,,,,00014273,,10.5465/AMJ.2007.24634438,,,"Academy of Management Journal"
"25/10/2024 09:19:06","Linking Corporate Policy and Supervisory Support with Environmental Citizenship Behaviors: The Role of Employee Environmental Beliefs and Commitment",Article,http://libreading.uea.ac.uk/items/baba3040-3ec3-4086-b014-30c97df15ab3.html,,,,"01674544 15730697",,,,,"Journal of Business Ethics"
"25/10/2024 09:18:14","Effects of Green HRM Practices on Employee Workplace Green Behavior: The Role of Psychological Green Climate and Employee Green Values.",Article,http://libreading.uea.ac.uk/items/75d065d4-8087-4fd2-97d8-9d3d75f40fe8.html,,,,00904848,,10.1002/hrm.21792,,,"Human Resource Management"
"27/10/2024 09:49:45","Perceived Organizational Support",Article,http://libreading.uea.ac.uk/items/d1384236-39b1-4039-901d-e9ab022a4ce4.html,,,,00219010,,,,,"Journal of Applied Psychology"
"27/10/2024 09:50:05","Affective and Continuance Commitment to the Organization: Evaluation of Measures and Analysis of Concurrent and Time-Lagged Relations.",Article,http://libreading.uea.ac.uk/items/b2ff6a68-6e4f-4416-8a92-b074c29c178d.html,,,,00219010,,10.1037/0021-9010.75.6.710,,,"Journal of Applied Psychology"
"29/10/2024 16:16:31","Development and Validation of the Political Skill Inventory.",Article,http://libreading.uea.ac.uk/items/a07d9fa9-2f17-427c-b315-ed4da27a4f61.html,,,,01492063,,10.1177/0149206304271386,,,"Journal of Management"
"29/10/2024 16:19:58","Measuring Innovative Work Behaviour.",Article,http://libreading.uea.ac.uk/items/f029fda5-8e9f-4eb9-849c-78e75c94e8f3.html,,,,09631690,,10.1111/j.1467-8691.2010.00547.x,,,"Creativity & Innovation Management"
"29/10/2024 17:24:25","Perceived Usefulness, Perceived Ease of Use, and User Acceptance of Information Technology.",Article,http://libreading.uea.ac.uk/items/eaa397df-c275-4202-bcce-1bef679b83c3.html,,,,02767783,,10.2307/249008,,,"MIS Quarterly"
"21/10/2024 15:17:16","Attitude Toward the Color Blue: An Ideal Marker Variable.",Article,http://libreading.uea.ac.uk/items/86eb5afd-1546-4025-9d1f-2e1bbb05862e.html,,,,10944281,,10.1177/10944281221075361,,,"Organizational Research Methods"
"21/10/2024 15:18:56","The Social Desirability Scale-17 (SDS-17): Convergent validity, discriminant validity, and relationship with age.",Article,http://libreading.uea.ac.uk/items/01dab95c-0f79-4eab-aaba-62ded284bcdc.html,,,,10155759,21512426,10.1027//1015-5759.17.3.222,,,"European Journal of Psychological Assessment"
"21/10/2024 15:56:43","A five-item measure of socially desirable response set",Article,http://libreading.uea.ac.uk/items/9399f6bc-fbf2-4cf6-b12a-0f315d89af93.html,,,,"15523888 00131644",,10.1177/001316448904900315,,,"Educational and Psychological Measurement"
